,name,university,type,location,duration,link
86,"Arts, Policy and Cultural Entrepreneurship",University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/arts-policy-and-cultural-entrepreneurship-10030
87,"Writing, Editing and Mediating",University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/writing-editing-and-mediating-4497
88,Industrial Engineering and Management,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/industrial-engineering-and-management-470
89,Geopolitics & Connectivity,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/geopolitics-connectivity-10034
90,DDM Religion and Pluralism,University of Groningen,Master,Groningen,1.5 year,https://www.studyinnl.org//dutch-education/studies/ddm-religion-and-pluralism-11352
91,"Classical, Medieval and Early Modern Studies",University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/classical-medieval-and-early-modern-studies-10031
92,Clinical and Psychosocial Epidemiology,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/clinical-and-psychosocial-epidemiology-489
93,Clinical Forensic Psychology and Victimology,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/clinical-forensic-psychology-and-victimology-4350
94,European Law in a Global Context,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/european-law-in-a-global-context-519
95,Clinical Neuropsychology,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/clinical-neuropsychology-4347
96,Liberal Arts and Sciences,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/liberal-arts-and-sciences-426
97,Biology,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/biology-462
98,Business Administration,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/business-administration-430
99,Business Administration,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/business-administration-504
100,Energy and Environmental Sciences,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/energy-and-environmental-sciences-495
101,Sport Studies,Hanze University of Applied Sciences,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/sport-studies-8338
102,Nanoscience,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/nanoscience-501
103,International and European Law,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/international-and-european-law-457
104,Biomolecular Sciences,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/biomolecular-sciences-499
105,Curatorial Studies,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/curatorial-studies-4309
106,Ecology and Evolution,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/ecology-and-evolution-488
107,Islands and Sustainability (EM),University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/islands-and-sustainability-em-10491
108,Molecular & Cell Biology,Hanze University of Applied Sciences,Bachelor,Groningen,-,https://www.studyinnl.org//dutch-education/studies/molecular-cell-biology-13602
109,Population Studies,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/population-studies-512
110,Creative Media and Game Technologies,Hanze University of Applied Sciences,Bachelor,Groningen,4 years,https://www.studyinnl.org//dutch-education/studies/creative-media-and-game-technologies-10773
111,Economic Geography: Regional Competitiveness and Trade,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/economic-geography-regional-competitiveness-and-trade-4446
112,Human Geography and Planning,University of Groningen,Bachelor,Groningen,3 years,https://www.studyinnl.org//dutch-education/studies/human-geography-and-planning-10157
113,Computational Cognitive Science,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/computational-cognitive-science-508
114,Middle Eastern Studies,University of Groningen,Master,Groningen,1 year,https://www.studyinnl.org//dutch-education/studies/middle-eastern-studies-536
115,Human Movement Sciences,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/human-movement-sciences-518
116,CPE Track Health Systems and Prevention,University of Groningen,Master,Groningen,2 years,https://www.studyinnl.org//dutch-education/studies/cpe-track-health-systems-and-prevention-10763
