,name,university,type,location,duration,link
0,Filosofie,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/filosofie-1225
1,"Placemaking: Sense, Space & Strategy",University of Amsterdam,Short or summer course,Amsterdam,19 days,https://www.studyinnl.org//dutch-education/studies/placemaking-sense-space-strategy-9720
2,Social Sciences for a Digital Society (research),Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/social-sciences-for-a-digital-society-research-1329
3,Finance: Climate and Sustainable Finance,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/finance-climate-and-sustainable-finance-57575
4,International and European Law: International Trade and Investment Law,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-and-european-law-international-trade-and-investment-law-6639
5,Digital Economic Geography (Human Geography),University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/digital-economic-geography-human-geography-6800
6,Law and Finance,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/law-and-finance-1193
7,History and International Studies,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/history-and-international-studies-6913
8,Physics and Astronomy: Advanced Matter and Energy Physics,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/physics-and-astronomy-advanced-matter-and-energy-physics-9819
9,Artificial Intelligence,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/artificial-intelligence-1242
10,Business Administration,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/business-administration-1272
11,Tourism Management,Inholland University of Applied Sciences,Bachelor,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/tourism-management-2369
12,Arts and Culture: Comparative Cultural Analysis,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-comparative-cultural-analysis-9978
13,"Science, Business and Innovation",Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/science-business-and-innovation-1327
14,"Human Movement Sciences: Sport, Exercise and Health (research)",Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/human-movement-sciences-sport-exercise-and-health-research-1282
15,Neurobiology: Psychopharmacology and Pathophysiology,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/neurobiology-psychopharmacology-and-pathophysiology-9801
16,Computer Science (joint degree),Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/computer-science-joint-degree-1295
17,Economics of Blockchain and Digital Currencies,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,5 days,https://www.studyinnl.org//dutch-education/studies/economics-of-blockchain-and-digital-currencies-57644
18,Biomedical Sciences: Medical Biology,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/biomedical-sciences-medical-biology-6818
19,Ancient Studies,University of Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/ancient-studies-14326
20,Drug Discovery Sciences,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/drug-discovery-sciences-1319
21,Language and Mind,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/language-and-mind-11040
22,Jewish studies,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/jewish-studies-10004
23,Finance: Honours Programme in Finance and Technology,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/finance-honours-programme-in-finance-and-technology-11289
24,Finance: Honours Programme in Finance and Technology,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/finance-honours-programme-in-finance-and-technology-9818
25,Commerce Economics & Entrepreneurship,Tio University of Applied Sciences,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/commerce-economics-entrepreneurship-1787
26,"Literary Studies: Literature, Culture and Society",University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/literary-studies-literature-culture-and-society-10000
27,Communication Science,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/communication-science-9523
28,Advanced LLM in Technology Governance,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/advanced-llm-in-technology-governance-13819
29,Econometrics and Operations Research: Quantitative Economics,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/econometrics-and-operations-research-quantitative-economics-9888
30,Introduction to International Anti-Money Laundering Law & Compliance,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,8 days,https://www.studyinnl.org//dutch-education/studies/introduction-to-international-anti-money-laundering-law-compliance-14102
31,Communication Science (research MSc),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/communication-science-research-msc-1109
32,Statistical Methods for Causal Inference,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/statistical-methods-for-causal-inference-14104
33,Literary Studies (research MA),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/literary-studies-research-ma-1140
34,Ancient Studies,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/ancient-studies-11058
35,Artificial Intelligence,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/artificial-intelligence-1317
36,"Spatial, Transport and Environmental Economics: Real Estate in Economics and Finance",Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/spatial-transport-and-environmental-economics-real-estate-in-economics-and-finance-9876
37,"Spatial, Transport and Environmental Economics: Transport Economics",Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/spatial-transport-and-environmental-economics-transport-economics-11020
38,Urban Geography (Human Geography),University of Amsterdam,Short or summer course,Amsterdam,0 days,https://www.studyinnl.org//dutch-education/studies/urban-geography-human-geography-6802
39,Psychology (research),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/psychology-research-1131
40,ESG Academy,University of Amsterdam,Other,Amsterdam,10 months,https://www.studyinnl.org//dutch-education/studies/esg-academy-57512
41,Philosophy of the Humanities and Social Sciences,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/philosophy-of-the-humanities-and-social-sciences-1146
42,Foundations of Machine Learning with Applications in Python,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,5 days,https://www.studyinnl.org//dutch-education/studies/foundations-of-machine-learning-with-applications-in-python-11646
43,Heritage Studies: Curating Art and Cultures,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/heritage-studies-curating-art-and-cultures-1157
44,Arts and Culture: Art and Performance Research Studies (research MA),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-art-and-performance-research-studies-research-ma-1150
45,"Physics and Astronomy: Gravitation, Astro- and Particle Physics Amsterdam",University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/physics-and-astronomy-gravitation-astro-and-particle-physics-amsterdam-6732
46,European MSc in Occupational Therapy,Amsterdam University of Applied Sciences,Master,Amsterdam,-,https://www.studyinnl.org//dutch-education/studies/european-msc-in-occupational-therapy-2560
47,Economics,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/economics-1298
48,Applied Mathematics / Data Science,Inholland University of Applied Sciences,Bachelor,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/applied-mathematics-data-science-2358
49,Biomolecular Sciences,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/biomolecular-sciences-1271
50,Political Economy (Political Science),University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/political-economy-political-science-6777
51,Bachelor International Business Administration,Wittenborg University of Applied Sciences,Bachelor,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/bachelor-international-business-administration-1934
52,Linguistics: Language and Society,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/linguistics-language-and-society-1141
53,Child Development and Education (research master),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/child-development-and-education-research-master-1112
54,Hotel and Event Management,Tio University of Applied Sciences,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/hotel-and-event-management-1792
55,Information Sciences,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/information-sciences-1263
56,New Venture Creation in the Amsterdam Entrepreneurial Ecosystem,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/new-venture-creation-in-the-amsterdam-entrepreneurial-ecosystem-14097
57,European School of Physiotherapy (Internationaal),Amsterdam University of Applied Sciences,Bachelor,Amsterdam,-,https://www.studyinnl.org//dutch-education/studies/european-school-of-physiotherapy-internationaal-9202
58,Literary and cultural analysis,University of Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/literary-and-cultural-analysis-1077
59,Marketing,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/marketing-10776
60,Political Science: Global Politics,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/political-science-global-politics-9525
61,Communication Science: Political Communication,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/communication-science-political-communication-6798
62,Personalized Medicine,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/personalized-medicine-1301
63,Earth Sciences,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/earth-sciences-1318
64,Cognitive Neuropsychology (research),Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/cognitive-neuropsychology-research-1268
65,History: American Studies,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/history-american-studies-6742
66,Econometrics and Data Science,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/econometrics-and-data-science-13930
67,Psychology: Health Promotion & Behaviour Change,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-health-promotion-behaviour-change-6769
68,Logic as a Tool for Modelling,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/logic-as-a-tool-for-modelling-10436
69,Forensic Science,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/forensic-science-1130
70,Archaeology: Digital Archaeology and Heritage,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/archaeology-digital-archaeology-and-heritage-12815
71,Architecture,Amsterdam University of the Arts,Master,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/architecture-1516
72,Communication Science: Corporate Communication,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/communication-science-corporate-communication-6799
73,"Spatial, Transport and Environmental Economics: Transport Economics",Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/spatial-transport-and-environmental-economics-transport-economics-9825
74,Biomedical Sciences,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/biomedical-sciences-1186
75,Gender in Society,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,5 days,https://www.studyinnl.org//dutch-education/studies/gender-in-society-13887
76,Literature and Society,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/literature-and-society-1222
77,Business Administration: Management Consulting,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/business-administration-management-consulting-7059
78,Environmental Justice in Theory and Practice,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,8 days,https://www.studyinnl.org//dutch-education/studies/environmental-justice-in-theory-and-practice-14101
79,"Sport Studies - track International Sports, Management and Business",Amsterdam University of Applied Sciences,Bachelor,Amsterdam,-,https://www.studyinnl.org//dutch-education/studies/sport-studies-track-international-sports-management-and-business-9185
80,Humanities (research): Environmental Humanities,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/humanities-research-environmental-humanities-12568
81,Humanities (research): Linguistics,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/humanities-research-linguistics-7117
82,Econometrics and Operations Research: Marketing Data Science,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/econometrics-and-operations-research-marketing-data-science-9892
83,Law and Politics of International Security,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/law-and-politics-of-international-security-1273
84,Economics: International and Macroeconomic Policy,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/economics-international-and-macroeconomic-policy-9897
85,Philosophy,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/philosophy-9956
86,Neurobiology: Physiology of Synapses and Networks,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/neurobiology-physiology-of-synapses-and-networks-6819
87,"Spatial, Transport and Environmental Economics: Environmental Economics",Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/spatial-transport-and-environmental-economics-environmental-economics-11291
88,"Political Science: Democracy, Power and Inequality",Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/political-science-democracy-power-and-inequality-7040
89,Master of Business Admnistration in International Hospitality Management,Hotelschool The Hague,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/master-of-business-admnistration-in-international-hospitality-management-126
90,International and European Law: Public International Law,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-and-european-law-public-international-law-6640
91,Computer Security,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/computer-security-1275
92,Medical Biology: Oncology,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/medical-biology-oncology-6815
93,Econometrics and Operations Research: Operations Research Theory,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/econometrics-and-operations-research-operations-research-theory-9889
94,Logic,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/logic-1122
95,Neurobiology: Molecular Neurosciences,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/neurobiology-molecular-neurosciences-6822
96,Arts and Culture: Music Studies,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-music-studies-6594
97,Arts and Culture: Cultural Analysis (research MA),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-cultural-analysis-research-ma-6693
98,Hydrology,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/hydrology-1279
99,Master of Business Administration (MBA) in Clean Technology Management,Wittenborg University of Applied Sciences,Master,Amsterdam,1.5 year,https://www.studyinnl.org//dutch-education/studies/master-of-business-administration-mba-in-clean-technology-management-8227
100,Chemistry: Analytical Sciences,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/chemistry-analytical-sciences-9796
101,Mindfulness and Compassion-based Interventions,University of Amsterdam,Short or summer course,Amsterdam,19 days,https://www.studyinnl.org//dutch-education/studies/mindfulness-and-compassion-based-interventions-6402
102,International Tourism Management,Tio University of Applied Sciences,Other,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-tourism-management-10520
103,Heritage Studies: Museum Studies,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/heritage-studies-museum-studies-1156
104,Information Studies: Data Science,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/information-studies-data-science-6644
105,Information Studies: Information Systems,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/information-studies-information-systems-6645
106,Media Studies: Cultural Data & AI,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/media-studies-cultural-data-ai-13608
107,Urbanism,Amsterdam University of the Arts,Master,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/urbanism-1518
108,Deep Learning,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,5 days,https://www.studyinnl.org//dutch-education/studies/deep-learning-13912
109,Security and Network Engineering,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/security-and-network-engineering-1123
110,Sign Language Linguistics,University of Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/sign-language-linguistics-11000
111,Digital Business and Innovation,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/digital-business-and-innovation-1292
112,Machine Learning for Business,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,5 days,https://www.studyinnl.org//dutch-education/studies/machine-learning-for-business-13889
113,International Business Management,Tio University of Applied Sciences,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-management-1797
114,Physics and Astronomy: Theoretical Physics,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/physics-and-astronomy-theoretical-physics-9820
115,The Beautiful Mind: Global Mental Health,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/the-beautiful-mind-global-mental-health-11549
116,Master of Business Administration,Tio University of Applied Sciences,Master,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/master-of-business-administration-10887
117,Literary Studies: English Literature and Culture,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/literary-studies-english-literature-and-culture-1139
118,English Language and Culture,University of Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/english-language-and-culture-1081
119,Data Science and Business Analytics,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/data-science-and-business-analytics-12272
120,Linguistics: Linguistics and Communication (research MA),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/linguistics-linguistics-and-communication-research-ma-1143
121,Biological Sciences: Ecology and Evolution,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/biological-sciences-ecology-and-evolution-6673
122,Mathematics,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/mathematics-1183
123,Master of Business Administration (MBA) in Digital Transformation,Wittenborg University of Applied Sciences,Master,Amsterdam,1.5 year,https://www.studyinnl.org//dutch-education/studies/master-of-business-administration-mba-in-digital-transformation-11319
124,Neurosciences (research),Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/neurosciences-research-1278
125,Humanities (research): Critical Studies in Art and Culture,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/humanities-research-critical-studies-in-art-and-culture-7113
126,Biomedical Sciences: Neurobiology,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/biomedical-sciences-neurobiology-6823
127,Communication Science: Entertainment communication,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/communication-science-entertainment-communication-6797
128,Econometrics and Operations Research,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/econometrics-and-operations-research-1239
129,Law in Society,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/law-in-society-1248
130,"Human Movement Sciences: Sport, Exercise and Health",Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/human-movement-sciences-sport-exercise-and-health-1315
131,Football Behaviour Management,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/football-behaviour-management-11348
132,European Studies: Identity and Integration,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/european-studies-identity-and-integration-6648
133,Heritage Studies: Preservation and Presentation of the Moving Image,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/heritage-studies-preservation-and-presentation-of-the-moving-image-6703
134,Psychology: Social Influence,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/psychology-social-influence-11559
135,Business Administration: Human Resource Management,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/business-administration-human-resource-management-7058
136,Urban Studies (research MSc),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/urban-studies-research-msc-1115
137,The Economics of Cities,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,8 days,https://www.studyinnl.org//dutch-education/studies/the-economics-of-cities-10415
138,Classics and Ancient Civilizations: Ancient Studies,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/classics-and-ancient-civilizations-ancient-studies-7093
139,"Linguistics: Language, Literature and Education",University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/linguistics-language-literature-and-education-9999
140,Software Engineering,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/software-engineering-1124
141,Economics: Market Analytics,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/economics-market-analytics-9899
142,Data Science and Business Analytics: Data Science track,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/data-science-and-business-analytics-data-science-track-13719
143,"Philosophy: Philosophy, Bioethics and Health",Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/philosophy-philosophy-bioethics-and-health-7098
144,International Business,Amsterdam University of Applied Sciences,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/international-business-9177
145,Political Science,University of Amsterdam,Master,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/political-science-1176
146,Earth Sciences,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/earth-sciences-1185
147,Bachelor of Business Administration in Entrepreneurship & Digital Marketing,Wittenborg University of Applied Sciences,Bachelor,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/bachelor-of-business-administration-in-entrepreneurship-digital-marketing-10320
148,Law: European and International Law,Vrije Universiteit Amsterdam,Master,Amsterdam,1.5 year,https://www.studyinnl.org//dutch-education/studies/law-european-and-international-law-7028
149,Biological Sciences,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/biological-sciences-1135
150,Artificial Intelligence,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/artificial-intelligence-1184
151,Heritage and Memory Studies,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/heritage-and-memory-studies-10860
152,Theology and Religious Studies: Religious Studies (research MA),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/theology-and-religious-studies-religious-studies-research-ma-1148
153,"Unlocking the Mysteries of Neurodegenerative Diseases: Advances in Research, Diagnosis, and Care",Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/unlocking-the-mysteries-of-neurodegenerative-diseases-advances-in-research-diagnosis-and-care-57571
154,Water Politics and Governance,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,8 days,https://www.studyinnl.org//dutch-education/studies/water-politics-and-governance-57573
155,Global Sustainable Business Management,Amsterdam University of Applied Sciences,Master,Amsterdam,1.5 year,https://www.studyinnl.org//dutch-education/studies/global-sustainable-business-management-10679
156,Law: International Migration and Refugee Law,Vrije Universiteit Amsterdam,Master,Amsterdam,1.5 year,https://www.studyinnl.org//dutch-education/studies/law-international-migration-and-refugee-law-7027
157,Commercial Economy & Entrepreneurship,Tio University of Applied Sciences,Other,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/commercial-economy-entrepreneurship-10521
158,"Global Arts, Culture and Politics",University of Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/global-arts-culture-and-politics-57459
159,Post-Soviet Conflicts and Political Transformations: A Comprehensive Study,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,8 days,https://www.studyinnl.org//dutch-education/studies/post-soviet-conflicts-and-political-transformations-a-comprehensive-study-57570
160,Mediterranean Archaeology,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/mediterranean-archaeology-7004
161,International Business,Amsterdam University of Applied Sciences,Bachelor,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/international-business-2497
162,Master of Business Administration (MBA) in Data Analytics,Wittenborg University of Applied Sciences,Master,Amsterdam,1.5 year,https://www.studyinnl.org//dutch-education/studies/master-of-business-administration-mba-in-data-analytics-11318
163,"Political Science: Global Environmental Governance, Sustainability and Climate Change",Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/political-science-global-environmental-governance-sustainability-and-climate-change-7042
164,International Criminal Justice,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/international-criminal-justice-10410
165,Sociology,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/sociology-1174
166,"Political Science: International Relations, Security and Global Order",Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/political-science-international-relations-security-and-global-order-7041
167,Earth Sciences: Environmental Management,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/earth-sciences-environmental-management-6807
168,Bachelor degree in Hospitality Management,Hotelschool The Hague,Bachelor,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/bachelor-degree-in-hospitality-management-124
169,Classics and Ancient Civilizations,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/classics-and-ancient-civilizations-1144
170,Sport Business & Leadership,Amsterdam University of Applied Sciences,Master,Amsterdam,-,https://www.studyinnl.org//dutch-education/studies/sport-business-leadership-36101
